# Every unique Lua C function name the engine registers.
# 1488 pairs, 1432 distinct names.
# A trailing [STUB] marks the noop stub at 0x006AEF90
# (function was stripped from the retail build).

name                                              address     notes
--------------------------------------------------------------------------------
0123456789ABCDEF                                  0x02118D74
GetHardpointPosition                              0x005CFA70
GetHardpointYaw                                   0x005CFB60
GetHealth                                         0x005CBDA0
GetHeightAboveTerrain                             0x005D27D0
GetHibernationDistance                            0x005CF410
gethostbyname                                     0x02136678
GetHostName                                       0x005C6910
getHours                                          0x007B8CD0
GetImageClockElapsed                              0x005B7A90
GetImageRotation                                  0x005B72F0
GetImageTextureCoordinates                        0x005B75B0
GetInfractions                                    0x005E06C0
GetINIBriefing                                    0x005E5540
GetINILoadLastSave                                0x005E55E0
getInstanceAtDepth                                0x00795E70
GetIntValue                                       0x005B1530
GetInvincible                                     0x005CE4C0
GetLanguage                                       0x005E63C0
GetLanguageName                                   0x005B4BB0
GetLanguageNum                                    0x005B4B70
GetLevelName                                      0x005E4F90
getLineIndexAtPoint                               0x007A77C0
getLineIndexOfChar                                0x007A7E40
getLineLength                                     0x007A7960
getLineMetrics                                    0x007A7A20
getLineOffset                                     0x007A78A0
GetLineRegion                                     0x005B0EB0
GetLineRegionPoints                               0x005D7150
GetLineRegionSetting                              0x005B0E00
getLineText                                       0x007A7C70
GetLinkGuid                                       0x005D2DD0
GetLoadingStaticLayers                            0x006AEF90  [STUB]
GetLocalCharacter                                 0x005DE1C0
GetLocalId                                        0x005DE000
GetLocalizedName                                  0x005CC240
GetLocalPlayer                                    0x005DE0A0
GetLocalPlayerId                                  0x005DE140
GetMass                                           0x005CF020
GetMasterScriptName                               0x005E4FF0
GetMaxClipAmmo                                    0x005EA650
GetMaxDuration                                    0x005E3800
GetMaxHealth                                      0x005CC020
GetMaximumLocalPlayers                            0x005DDF80
GetMaximumPlayers                                 0x005DDA50
GetMaxReserveAmmo                                 0x005EA8D0
getmetatable                                      0x00860790
getMilliseconds                                   0x007B8E10
getMinutes                                        0x007B8D30
GetModelBBoxExtents                               0x005BFF80
GetModelName                                      0x005CCC10
getMonth                                          0x007B8A00
GetMovieCurrentFrameNumber                        0x005BC560
getn                                              0x008626A0
GetName                                           0x005CC9F0
GetName                                           0x005DA790
getnameinfo                                       0x009E2C9A
getNewTextFormat                                  0x007A6ED0
getNextHighestDepth                               0x00795DE0
GetNodeHealth                                     0x005CC110
GetObjects                                        0x005F70D0
GetObjectsInArea                                  0x005D4900
GetOutBoundary                                    0x005DC710
getPan                                            0x007AA4A0
GetParent                                         0x005CBC40
GetPerceivability                                 0x005AA5E0
GetPhysicsType                                    0x005D0750
GetPitch                                          0x005AEFA0
GetPlatform                                       0x005E6330
GetPlayer                                         0x005DDAD0
GetPlayerId                                       0x005DDC20
GetPlayerStart                                    0x005DEC50
GetPosition                                       0x005CC400
GetPrimaryCharacter                               0x005DD950
GetPrimaryPlayer                                  0x005DD890
GetPrimaryWeapon                                  0x005BE9A0
GetProfileCharacter                               0x005DF780
GetProfileCostume                                 0x005DF8D0
GetProfileUpgrade                                 0x005DF820
getProgress                                       0x007B2310
GetPursuitState                                   0x005D8D30
GetRelation                                       0x005AACD0
GetReserveAmmo                                    0x005EA800
GetReticlePosition                                0x005B2E60
GetRetryPosition                                  0x005DF1F0
getRGB                                            0x0079E330
GetRiderFromSeat                                  0x005E7190
GetRiders                                         0x005E6C20
GetScreenRatio                                    0x005B02C0
GetSeat                                           0x005DA930
GetSeatByType                                     0x005E7270
GetSeatFromRider                                  0x005CD9E0
GetSeatParams                                     0x005E7410
GetSeatToSeat                                     0x005E77E0
GetSecondaryCharacter                             0x005DD9D0
GetSecondaryPlayer                                0x005DD8F0
GetSecondaryWeapon                                0x005BEB20
getSeconds                                        0x007B8DA0
getservbyname                                     0x02136AB8
GetShadowBaseDistance                             0x005B04C0
GetShellCode                                      0x005E66C0
GetSkipMission                                    0x005E5490
GetSpawnList                                      0x005A4E90
GetSpawnListChangeInfo                            0x005A5000
GetState                                          0x005A87B0
GetStringHash                                     0x005D3170
GetSubjectData                                    0x005AA8E0
getSWFVersion                                     0x00795F40
GetTargetUnderReticle                             0x005DD6A0
GetTetherDiameterEnd                              0x005D7A70
GetTetherDiameterStart                            0x005D7A20
getTextFormat                                     0x007A6D20
GetTextHeight                                     0x005B8300
GetTextJustification                              0x005B84E0
GetTextScale                                      0x005B86C0
GetTextText                                       0x005B7EB0
GetTextWidth                                      0x005B8230
GetTextWrapping                                   0x005B8160
getTime                                           0x007B8C80
getTimezoneOffset                                 0x007B89A0
getTransform                                      0x0079DEC0
getTransform                                      0x007AA4D0
GetTranslationForStanceAndAction                  0x005ADFC0
GetUnloadingStaticLayers                          0x005D4B90
getUTCDate                                        0x007B9540
getUTCDay                                         0x007B9670
getUTCFullYear                                    0x007B98D0
getUTCHours                                       0x007B96E0
getUTCMilliseconds                                0x007B9820
getUTCMinutes                                     0x007B9740
getUTCMonth                                       0x007B9460
getUTCSeconds                                     0x007B97B0
getUTCYear                                        0x007B9880
GetValue                                          0x005B1140
GetVehicleDisguise                                0x005E0120
GetVehicleDisguiseState                           0x005E0460
GetVehicleWeapon                                  0x005BECA0
GetVelocity                                       0x005CC6F0
GetVelocitySquared                                0x005CC5D0
GetVelocityVector                                 0x005CC820
GetVersion                                        0x005E6620
GetViewport                                       0x005DACB0
GetViewportId                                     0x005DAF00
getVolume                                         0x007AA4A0
GetWarningRadius                                  0x005D79D0
GetWidgetAnchoring                                0x005B5FD0
GetWidgetChildren                                 0x005B6AA0
GetWidgetColor                                    0x005B5740
GetWidgetCorrectedLocation                        0x005B54A0
GetWidgetDownId                                   0x005B7000
GetWidgetHighlightable                            0x005B5300
GetWidgetHighlightId                              0x005B6FA0
GetWidgetIgnoresPause                             0x005B5A90
GetWidgetLocation                                 0x005B5190
GetWidgetSleep                                    0x005B5CD0
GetWidgetViewport                                 0x005B6600
GetWidgetVisible                                  0x005B5910
GetWinchState                                     0x005D2240
GetXZHeading                                      0x005C5E00
GetYaw                                            0x005AED60
GetYaw                                            0x005CC4D0
getYear                                           0x007B8E70
gfind                                             0x00864C00
globalToLocal                                     0x00795700
gmatch                                            0x00864AD0
Goal                                              0x005A70A0
GoIn                                              0x005AA230
gotoAndPlay                                       0x007940B0
gotoAndStop                                       0x007941D0
GrantAchievement                                  0x005C91E0
GRAPHICSTRING                                     0x02145FC8
gsub                                              0x00864E80
GuidToString                                      0x005E49E0
HaltSpriteAnimation                               0x005BBFF0
HaltTextAnimation                                 0x005B8BD0
HasLabel                                          0x005CEE30
hasOwnProperty                                    0x00786A80
HasPlayerUnlockedCode                             0x005CB6A0
HasWinch                                          0x005D1D20
HaveActiveProfile                                 0x005E6530
HeliDropZoneInfo                                  0x005A9DF0
HeliLand                                          0x005A9240
HeliTakeoff                                       0x005A9A30
hide                                              0x007AA4D0
hide                                              0x007AE470
HijackAbort                                       0x005E8510
HijackAbortDone                                   0x005E85A0
HijackComplete                                    0x005E8670
HijackStart                                       0x005E92F0
hitTest                                           0x00795900
Hold                                              0x005AF9F0
IA5STRING                                         0x02146064
identity                                          0x0079FB00
Ignite                                            0x006AEF90  [STUB]
InCinematicMode                                   0x005DC080
indexOf                                           0x007AF520
inflate                                           0x007AC430
inflatePoint                                      0x007AC510
Init                                              0x005E0570
InitTinyGeometry                                  0x005B0510
InSeat                                            0x005CD9E0
insert                                            0x00862770
InsideBoundary                                    0x005CF780
InstallToHDD                                      0x006AEF90  [STUB]
interpolate                                       0x007D3B30
InterpolateWidget                                 0x005B60E0
intersection                                      0x007AC600
intersects                                        0x007AC880
InVehicle                                         0x005CDAC0
invert                                            0x0079FB60
IsActionLevelLockedMusic                          0x005E1B10
IsActive                                          0x005C6780
IsAlive                                           0x005CD8B0
IsAttached                                        0x005D13B0
IsAutosaveEnabled                                 0x005E6580
IsAwake                                           0x005CF2F0
IsBoundaryDeath                                   0x005DD030
IsCarrying                                        0x005BDD00
IsClient                                          0x005C6800
IsConfirmOnCircle                                 0x005E62F0
IsConnectedToInternet                             0x005C66B0
IsCoopMultiplayer                                 0x005DD820
IsDedicated                                       0x005C6880
IsDemoMode                                        0x005E5610
IsDesignator                                      0x005EAB10
IsDisguised                                       0x005CEF10
IsDynamicMusic                                    0x005E16E0
isEmpty                                           0x007ACA80
IsEnabled                                         0x005C6740
IsFactionLockedMusic                              0x005E1900
IsFinalConfig                                     0x005E6560
IsFlipped                                         0x005E9130
IsFlying                                          0x005E9030
IsGermanSKU                                       0x005E6370
IsGrappling                                       0x005BDEF0
IsHibernated                                      0x005CF230
IsHijackBad                                       0x005E9780
IsHijackRemote                                    0x005E91F0
IsInstallable                                     0x005C0330
IsInterpolating                                   0x005B1680
IsInWarningZone                                   0x005DC800
IsJoined                                          0x005DDD30
IsLoadingOrStreaming                              0x005E4CE0
IsLobby                                           0x005C67C0
IsLocal                                           0x005DDDD0
IsMatchmakingInternet                             0x005CACF0
IsMultiplayer                                     0x005C66F0
IsOnlineConnected                                 0x005C66B0
IsOnlineEnabled                                   0x005CACF0
IsPdaOnSelect                                     0x005B2F00
IsPlatformConnected                               0x005C66B0
IsPlayerControlled                                0x005CDFE0
IsPointInBoundary                                 0x005D6D50
IsPositionOutBoundary                             0x005DCE80
IsPrimary                                         0x005EAC00
isPropertyEnumerable                              0x00786D50
isPrototypeOf                                     0x00786E50
IsReadyToTether                                   0x005CB940
IsRemote                                          0x005DDED0
IsSeatALadder                                     0x005E7E70
IsSeatBlocked                                     0x005E7B40
IsServer                                          0x005C6840
IsStaticLayer                                     0x005D4BE0
IsSwimming                                        0x005BDBF0
IsTemplate                                        0x005CBD10
IsValid                                           0x005CDF50
IsVisible                                         0x005D04B0
IsWinched                                         0x005D1E90
IsWinching                                        0x005D1DD0
IsXboxController                                  0x005B2F40
Jan                                               0x02118D70
January                                           0x02118D34
join                                              0x0078C010
Jul                                               0x02118D58
July                                              0x02118D0C
Jun                                               0x02118D5C
June                                              0x02118D14
KickPlayer                                        0x005C9250
Kill                                              0x005CDEB0
Knockdown                                         0x005BD850
lastIndexOf                                       0x007AF770
len                                               0x00863440
Length                                            0x005C6150
lineGradientStyle                                 0x007970B0
lineStyle                                         0x00797370
lineTo                                            0x007977C0
LivingWorld                                       0x005A8370
load                                              0x007D1AE0
load                                              0x008613D0
LoadAsset                                         0x005D54B0
LoadBank                                          0x005E2420
LoadBankWithCallback                              0x005E2B90
loadClip                                          0x007B24A0
LoadData                                          0x006AEF90  [STUB]
loadfile                                          0x00861290
LoadFont                                          0x005B2DD0
LoadFunctions                                     0x006AEF90  [STUB]
LoadGame                                          0x005D7D20
LoadingStaticLayers                               0x006AEF90  [STUB]
LoadIsRetry                                       0x005D7E60
LoadLayer                                         0x005D4C70
LoadMissionSpiel                                  0x005CAE70
loadMovie                                         0x007961B0
LoadScript                                        0x006AEF90  [STUB]
loadSound                                         0x006B9360
LoadSoundBank                                     0x005E25D0
loadstring                                        0x008611E0
LoadTempBank                                      0x005E27D0
LoadTexture                                       0x005B2D40
loadVariables                                     0x00796340
LoadWaveBank                                      0x005E2650
localToGlobal                                     0x007954D0
LockActionLevelMusic                              0x005E1AA0
LockFactionMusic                                  0x005E1890
LockListenerPosition                              0x005E13D0
LockPursuit                                       0x005D84E0
LogError                                          0x006AEF90  [STUB]
LogInfo                                           0x006AEF90  [STUB]
LogWarning                                        0x006AEF90  [STUB]
lower                                             0x00863670
LTICamera                                         0x005C58A0
LTIChoseOnline                                    0x005C57F0
LTIGetDateFormat                                  0x005C5830
LTIGetPrecacheBypass                              0x005E4F10
LTIGetStartButton                                 0x005C36E0
LTIInputGeneralEnter                              0x005C1490
